$,','s,",",2022,:,?,a,after,and,at,be,business,by,cnbc,driver,for,from,get,have,how,in,it,life,more,new,news,of,on,reuters,s,stock,switch,the,thestreet,time,to,verge,will,with,york,|,–,’
-4.394134798460401,-4.090156395315635,-3.032869844354382,-2.5631887743342645,-4.788120751821019,-3.5861693042496006,-5.290785444254542,-3.311035947407164,-4.487138581429322,-3.1036095738407052,-4.30904949066388,-3.3312836526895557,-4.336614631759482,-4.589687372513858,-4.282223847766692,-4.554323008380834,-3.281412928275972,-4.112242098669446,-4.880012724168974,-4.487138581429322,-5.035929479754296,-3.1200330009603006,-4.0266833170522816,-4.626348369577029,-4.230639436414229,-3.2064574572350972,-4.282223847766692,-3.243233066768015,-3.612916017671526,-4.205811944693746,-4.3649612009139185,-4.833011592335241,-4.833011592335241,-2.4468722698565655,-4.929332383645489,-4.25609906002555,-2.5490562609942558,-4.30904949066388,-4.520166682584192,-3.560119381112454,-4.520166682584192,-4.487138581429322,-4.929332383645489,-4.047396567942392
-4.332952053314929,-3.925439480554784,-3.0999469953961523,-2.451692225945126,-4.925669805200936,-3.6228999392114885,-5.532648565914651,-3.494154645074916,-4.420522558079819,-3.158649292744644,-4.305386912219327,-3.277750349831419,-4.305386912219327,-4.550660429936281,-4.390472220015848,-4.278561269322139,-3.2680678574559083,-4.226976857969676,-4.586024794069305,-4.7003042551945065,-5.217066215875446,-3.091835335084287,-4.06488537023947,-4.451503970286932,-4.305386912219327,-3.221013637400688,-4.131164039300785,-3.2680678574559083,-3.556456802667901,-4.226976857969676,-4.483476002984769,-4.977548657615385,-4.550660429936281,-2.517714085376724,-5.032266901309743,-4.305386912219327,-2.4952189853053817,-4.305386912219327,-4.550660429936281,-3.609253439226973,-4.516504104139639,-4.622685791132476,-4.7003042551945065,-4.108579520224893
-4.4175828061353855,-4.151330675796809,-2.932186030586074,-2.5012166420340254,-4.7815184214320325,-3.5928509099021015,-5.440998201227629,-3.4556155003623346,-4.583085042124871,-3.097007243451719,-4.330012301370496,-3.2845877582903826,-4.302447160274894,-4.5477206779918475,-4.4175828061353855,-4.480536251040336,-3.2845877582903826,-4.10563976828046,-4.922730053256503,-4.657802381940027,-5.214126463931013,-3.0888955831398537,-4.10563976828046,-4.513564352195206,-4.17498362332265,-3.2180738854562545,-4.19920961430476,-3.2748105978869857,-3.676488374446949,-4.302447160274894,-4.448564218342499,-4.7815184214320325,-4.619746039188042,-2.479021128604864,-5.02932714936531,-4.249496729636563,-2.440269939467579,-4.302447160274894,-4.697364503250073,-3.6063136872825394,-4.448564218342499,-4.697364503250073,-5.02932714936531,-4.10563976828046
-4.423819481742287,-4.111876443887361,-3.024944431766957,-2.4896576705142763,-4.744793163795334,-3.5343652085807093,-5.44723487683453,-3.4388043707978824,-4.3645955461318335,-3.1448195775415453,-4.423819481742287,-3.3620796385185283,-4.255733405243465,-4.423819481742287,-4.423819481742287,-4.553957353598749,-3.2060918024530123,-4.006024758118524,-4.980845581277853,-4.589321717731773,-5.035563824972211,-3.08708586837533,-4.08979074053355,-4.832645937553156,-4.230273781632144,-3.252276589420137,-4.068182293901938,-3.1196673461782156,-3.612550362889441,-4.3645955461318335,-4.336248976977397,-4.787755097038934,-4.832645937553156,-2.5029746286783956,-5.09345035401891,-4.205446289911661,-2.5580900550556622,-4.423819481742287,-4.553957353598749,-3.6827250500538504,-4.393769143678316,-4.553957353598749,-4.7036011788569745,-3.986135478781438
-4.369338661101766,-4.031060777240128,-3.0296875467368896,-2.4725925241216578,-4.7924982120088675,-3.5644968413003015,-5.370499721078515,-3.3356611128774034,-4.49151604161717,-3.0918289833452626,-4.52454414277204,-3.3356611128774034,-4.286601307954539,-4.49151604161717,-4.260476520213397,-4.313426950851728,-3.247610526955863,-4.116619558857295,-4.837389052523088,-4.7924982120088675,-5.159637854610175,-3.132724443191587,-4.116619558857295,-4.749536278765268,-4.286601307954539,-3.238289057522552,-4.185963413899483,-3.2570197043900695,-3.6172934778593735,-4.286601307954539,-4.630725829764876,-4.7924982120088675,-4.594064832701705,-2.534895791109988,-4.9855886962477864,-4.398512258648249,-2.4386593337483955,-4.34099209194733,-4.52454414277204,-3.6172934778593735,-4.49151604161717,-4.6687821725168615,-4.7924982120088675,-4.010767873088457
-4.46281457458949,-3.918326571863127,-3.0032779400281093,-2.4932714848518547,-4.795768777679024,-3.517619020761563,-5.373770286748671,-3.2697888217179862,-4.597335398371862,-3.127681026818305,-4.431833162382376,-3.3700933191586175,-4.46281457458949,-4.633996395435033,-4.289871873624696,-4.401782824318405,-3.3287565805855808,-4.21345997055175,-4.840659618193245,-4.597335398371862,-5.228376820178004,-3.0791984348420396,-4.034331342910285,-4.46281457458949,-4.401782824318405,-3.232324241703245,-4.189233979569639,-3.2231733725763165,-3.5299223255627927,-4.1655810320438,-4.561971034238837,-4.887660750026978,-4.840659618193245,-2.480186859931538,-4.988859261917943,-4.289871873624696,-2.5199658361729895,-4.431833162382376,-4.561971034238837,-3.6480458499785984,-4.46281457458949,-4.527814708442197,-4.711614859497063,-4.055044593800396
-4.416109682995805,-4.060472495155455,-3.0874224600002735,-2.490806110221368,-4.7370833650488535,-3.5266554098342278,-5.625588772264763,-3.323208199160989,-4.479063127900756,-3.1983820037065307,-4.149857552657229,-3.375697156987891,-4.222563982885663,-4.5462475548522665,-4.3285391782309155,-4.416109682995805,-3.3029604938785972,-4.039321114413825,-4.7370833650488535,-4.695891380110492,-5.0278540262257305,-3.0556182211372915,-4.082080941787068,-4.656329258800447,-4.356885747385352,-3.225836143806138,-4.173510500183069,-3.1629110036312724,-3.6463517813941717,-4.416109682995805,-4.300974037135314,-4.824936138806674,-4.780045298292453,-2.536314007881418,-4.973135782531372,-4.222563982885663,-2.5042423567864187,-4.447091095202919,-4.695891380110492,-3.6048405641429593,-4.479063127900756,-4.7370833650488535,-4.7370833650488535,-3.8321265953207178
-4.319233915182945,-4.057580992461457,-3.027991474668858,-2.5225022348340502,-4.939516808164554,-3.5449152878818593,-5.457784956135679,-3.272325220379047,-4.497323005948387,-3.105682338047905,-4.497323005948387,-3.272325220379047,-4.319233915182945,-4.674589136848079,-4.292408272285757,-4.346799056278547,-3.234860640364306,-4.145011042264404,-4.798305176340085,-4.755343243096485,-5.10400043332006,-3.0506716122259903,-4.122426523188512,-4.798305176340085,-4.319233915182945,-3.2440960218537693,-4.168117430704861,-3.181170881678904,-3.6932751293550004,-4.292408272285757,-4.46535097325055,-4.798305176340085,-4.7141512581581235,-2.5135247079795455,-4.939516808164554,-4.346799056278547,-2.5135247079795455,-4.346799056278547,-4.674589136848079,-3.5575289768163607,-4.404319222979466,-4.564507432899898,-4.674589136848079,-4.078732373203087
-4.380145055073923,-3.972511390177045,-2.9671240209821743,-2.4456334642739526,-4.915342640259011,-3.669100961449457,-5.433610788230137,-3.277200345292891,-4.575697629127379,-3.1569967137733608,-4.441176805345007,-3.483827480132991,-4.380145055073923,-4.506176939197714,-4.216649693027751,-4.410195393137894,-3.3275736050884044,-4.167596210325158,-4.774131008434541,-4.689977090252581,-5.352132517504188,-3.089619830454227,-4.054558205297544,-4.575697629127379,-4.2421093166390715,-3.2386525008157436,-4.2682341043802134,-3.2970462040206856,-3.5989262742850476,-4.322624888373004,-4.441176805345007,-4.689977090252581,-4.6123586261905505,-2.544465966451269,-4.866022980782496,-4.2421093166390715,-2.4202921301740696,-4.322624888373004,-4.540333264994356,-3.5989262742850476,-4.441176805345007,-4.506176939197714,-4.915342640259011,-4.143943262799318
-4.228443499477462,-3.9843051966267553,-3.0081639533852167,-2.496685626813167,-4.9271364467087215,-3.557923444175686,-5.3639263239538995,-3.2410371298312475,-4.517970745647425,-3.1601159342524294,-4.421989199587604,-3.370856159241847,-4.362765263977151,-4.552127071444065,-4.362765263977151,-4.362765263977151,-3.250446307265454,-4.045200631005624,-4.830815655398473,-4.701770896702291,-5.3639263239538995,-3.085255586220647,-4.179390016774867,-4.662208775392246,-4.253903123088782,-3.2410371298312475,-4.228443499477462,-3.2988678496508355,-3.6243665807192738,-4.421989199587604,-4.421989199587604,-4.830815655398473,-4.742962881640652,-2.514641042313082,-4.877816787232206,-4.179390016774867,-2.4878273883595936,-4.362765263977151,-4.624152432640261,-3.545148615360528,-4.421989199587604,-4.662208775392246,-4.742962881640652,-4.024487380115513
